"company_id","genre","company","name_eng"
2,"company","18 บิซ จำกัด",NULL
3,"company","360 ดีกรีส์ เซอร์วิสเซส จำกัด",NULL
4,"company","888 ทองหล่อ จำกัด",NULL
5,"company","A.D. Houses Co.  LTD.",NULL
6,"company","AmBillion Group Co. Ltd.",NULL
7,"company","AMF Condominium",NULL
8,"company","ASSUMPTION UNIVERSITY",NULL
9,"company","Baan Lux Sathon 1 Condominium Juristic Person",NULL
10,"company","Baan Lux Sathon 2 Condominium Juristic Person",NULL
11,"company","Bangkok Diecasting And Injection Co.  Ltd.",NULL
12,"company","C.I.T. Property Consultants Co.  Ltd.",NULL
13,"company","CBM Facilities & Security Management (Thailand) Co. Ltd.",NULL
14,"company","CBM Facilities Management (Thailand) Co. Ltd.",NULL
15,"company","CHANTHAMANEE JEWELRY CO. LTD.",NULL
16,"company","FUJITSU SYSTEMS BUSINESS (THAILAND) LTD.",NULL
17,"company","GFPT NICHIREI (THAILAND) CO.  LTD.",NULL
18,"company","Golden Pattaya Condominium Juristic Person",NULL
19,"company","Grand asset prosperity Co.Ltd",NULL
20,"company","Hellmann Worldwide Logistics Co. Ltd",NULL
21,"company","HKR Facilities Management Co.  Ltd.",NULL
22,"company","Jasmine Residence Pattaya Condominium Juristic Person",NULL
23,"company","JOMTHIEN PLAZA CONDOMINIUM JURISTIC PERSON",NULL
24,"company","Jones Lang LaSalle Management Limited",NULL
25,"company","Lucky Living Properties Co.Ltd.",NULL
26,"company","MahaNakhon Condominium Juristic Person",NULL
27,"company","Nathasa แกรนด์คอนโดวิลล์",NULL
28,"company","Northshore Condominium Juristic Person",NULL
29,"company","P & D Development Co.  Ltd",NULL
30,"company","PACE PROJECT TWO CO. LTD.",NULL
31,"company","President Park  Park View Tower Condominium Juristic Person",NULL
32,"company","PTF Realty Co. Ltd.",NULL
33,"company","Raimon land Ekkamai Co.  Ltd.",NULL
34,"company","Raimon Land Sathorn Company Limited.",NULL
35,"company","Raimon Land Services Company Limited.",NULL
36,"company","Raimon Land Silom Company Limited.",NULL
37,"company","Raimon Land Twenty Six Company Limited.",NULL
38,"company","Raimon Land Unixx Company Limited.",NULL
39,"company","Rhom Bho Property Public Company Limited",NULL
40,"company","Riviera Luxury Development Co. Ltd.",NULL
41,"company","Rojana Distribution Center Co.  Ltd.",NULL
42,"company","Seafront Condo Management Co. Ltd.",NULL
43,"company","SIAM ORIENTAL SERVICE AND MANAGEMENT CO.  LTD.",NULL
44,"company","Summit Property Services Co.Ltd.",NULL
45,"company","Summit Property Services Co.Ltd. ไอ อาร์ ซี บี พรอพเพอร์ตี้",NULL
46,"company","TAKSIN PROPERTIES COMPANY LIMITED",NULL
47,"company","Thai KM Tech Co.  Ltd.",NULL
48,"company","The Clubhouse Residence Juristic Person",NULL
49,"company","The Kris 3",NULL
50,"company","The Kump Condo ABCD",NULL
51,"company","The Residences Hua Hin",NULL
52,"company","THE RIVER CONDOMINIUM JURISTIC PERSON",NULL
53,"company","The View Cozy Beach Residence",NULL
54,"company","UNIXX SOUTH PATTAYA CONDOMINIUM JURISTIC PERSON",NULL
55,"company","Upmost Projects Co.  Ltd.",NULL
56,"company","Upmost Projects Co.  Ltd. (Head Office)",NULL
57,"company","WISE POWER LAND CO.  LTD.",NULL
58,"company","ZIRE Wongamat CONDOMINIUM JURISTIC PERSON",NULL
59,"company","เกรเซียส ไอแอนด์ดี จำกัด",NULL
60,"company","เกรท พร็อพเพอร์ตี้ แมเนจเม้นท์ จำกัด",NULL
61,"company","เกรทเทอร์ โปรเฟสชั่นแนล แมเนจเมนท์ จำกัด",NULL
63,"company","เกรทไชน่า มิลเลนเนียม (ไทยแลนด์) จำกัด",NULL
65,"company","เกษตรธนสาร จำกัด",NULL
66,"company","เก้าเชือก จำกัด",NULL
67,"company","เค.เอส.พร็อพเพอร์ตี้ แมเนจเม้นท์ จำกัด",NULL
68,"company","เค.เอส.ฟอร์จูน จำกัด",NULL
69,"company","เค.จี.เอ็ม. เซอร์วิส จำกัด",NULL
70,"company","เคเอสอี เรียลตี้ แมนเนจเมนท์ จำกัด",NULL
71,"company","เคโฮม จำกัด",NULL
72,"company","เคที แมเนจเม้นท์ จำกัด",NULL
73,"company","เคทูบี แอสเซทส์ จำกัด",NULL
74,"company","เคปทาวน์ ศรีราชา จำกัด",NULL
75,"company","เคพีเอ็น แลนด์ จำกัด",NULL
76,"company","เคพีเอ็น กรุ๊ป คอร์ปอเรชั่น จำกัด",NULL
77,"company","เคอร์เทซี เซอร์วิสเซส คอร์ปอเรชั่น จำกัด",NULL
78,"company","เคอร์รี่ อินเตอร์เนชั่นแนล โฮลดิ้งส์ จำกัด",NULL
79,"company","เคอาร์ แอนด์ แอสโซซิเอทส์ จำกัด (สาขาประชาชื่นเรสซิเด้นซ์)",NULL
80,"company","เคอาร์แอนด์แอสโซซิเอทส์ จำกัด",NULL
81,"company","เคอาร์แอนด์แอสโซซิเอทส์ จำกัด (สาขาประชาชื่นเรสซิเด้นซ์)",NULL
82,"company","เงินเพิ่มพูล จำกัด",NULL
83,"company","เจ เอส แอสเสท จำกัด",NULL
84,"company","เจ เอส แอสเสท จำกัด (สำนักงานใหญ่)",NULL
85,"company","เจ ไลน์ แมเนจเม้นท์ จำกัด",NULL
86,"company","เจ พลัส พร็อพเพอร์ตี้ เมเนจเม้นท์ จำกัด",NULL
87,"company","เจ อาร์ วาย พัฒนา กรุ๊ป จำกัด",NULL
