company_id,genre,company
1,company,123 ฟายด์ ลีฟวิ่ง จำกัด
2,company,18 บิซ จำกัด
3,company,360 ดีกรีส์ เซอร์วิสเซส จำกัด
4,company,888 ทองหล่อ จำกัด
5,company,A.D. Houses Co.  LTD.
6,company,AmBillion Group Co. Ltd.
7,company,AMF Condominium
8,company,ASSUMPTION UNIVERSITY
9,company,Baan Lux Sathon 1 Condominium Juristic Person
10,company,Baan Lux Sathon 2 Condominium Juristic Person
11,company,Bangkok Diecasting And Injection Co.  Ltd.
12,company,C.I.T. Property Consultants Co.  Ltd.
13,company,CBM Facilities & Security Management (Thailand) Co. Ltd.
14,company,CBM Facilities Management (Thailand) Co. Ltd.
15,company,CHANTHAMANEE JEWELRY CO. LTD.
16,company,FUJITSU SYSTEMS BUSINESS (THAILAND) LTD.
17,company,GFPT NICHIREI (THAILAND) CO.  LTD.
18,company,Golden Pattaya Condominium Juristic Person
19,company,Grand asset prosperity Co.Ltd
20,company,Hellmann Worldwide Logistics Co. Ltd
21,company,HKR Facilities Management Co.  Ltd.
22,company,Jasmine Residence Pattaya Condominium Juristic Person
23,company,JOMTHIEN PLAZA CONDOMINIUM JURISTIC PERSON
24,company,Jones Lang LaSalle Management Limited
25,company,Lucky Living Properties Co.Ltd.
26,company,MahaNakhon Condominium Juristic Person
27,company,Nathasa แกรนด์คอนโดวิลล์
28,company,Northshore Condominium Juristic Person
29,company,P & D Development Co.  Ltd
30,company,PACE PROJECT TWO CO. LTD.
31,company,President Park  Park View Tower Condominium Juristic Person
32,company,PTF Realty Co. Ltd.
33,company,Raimon land Ekkamai Co.  Ltd.
34,company,Raimon Land Sathorn Company Limited.
35,company,Raimon Land Services Company Limited.
36,company,Raimon Land Silom Company Limited.
37,company,Raimon Land Twenty Six Company Limited.
38,company,Raimon Land Unixx Company Limited.
39,company,Rhom Bho Property Public Company Limited
40,company,Riviera Luxury Development Co. Ltd.
41,company,Rojana Distribution Center Co.  Ltd.
42,company,Seafront Condo Management Co. Ltd.
43,company,SIAM ORIENTAL SERVICE AND MANAGEMENT CO.  LTD.
44,company,Summit Property Services Co.Ltd.
45,company,Summit Property Services Co.Ltd. ไอ อาร์ ซี บี พรอพเพอร์ตี้
46,company,TAKSIN PROPERTIES COMPANY LIMITED
47,company,Thai KM Tech Co.  Ltd.
48,company,The Clubhouse Residence Juristic Person
49,company,The Kris 3
50,company,The Kump Condo ABCD
51,company,The Residences Hua Hin
52,company,THE RIVER CONDOMINIUM JURISTIC PERSON
53,company,The View Cozy Beach Residence
54,company,UNIXX SOUTH PATTAYA CONDOMINIUM JURISTIC PERSON
55,company,Upmost Projects Co.  Ltd.
56,company,Upmost Projects Co.  Ltd. (Head Office)
57,company,WISE POWER LAND CO.  LTD.
58,company,ZIRE Wongamat CONDOMINIUM JURISTIC PERSON
59,company,เกรเซียส ไอแอนด์ดี จำกัด
60,company,เกรท พร็อพเพอร์ตี้ แมเนจเม้นท์ จำกัด
61,company,เกรทเทอร์ โปรเฟสชั่นแนล แมเนจเมนท์ จำกัด
62,company,เกรทไชน่า มิลเลนเนียม (ไทยแลนด์)
63,company,เกรทไชน่า มิลเลนเนียม (ไทยแลนด์) จำกัด
64,company,เกรทไชน่า มิลเลนเนียม(ไทยแลนด์) จำกัด
65,company,เกษตรธนสาร จำกัด
66,company,เก้าเชือก จำกัด
67,company,เค.เอส.พร็อพเพอร์ตี้ แมเนจเม้นท์ จำกัด
68,company,เค.เอส.ฟอร์จูน จำกัด
69,company,เค.จี.เอ็ม. เซอร์วิส จำกัด
70,company,เคเอสอี เรียลตี้ แมนเนจเมนท์ จำกัด
71,company,เคโฮม จำกัด
72,company,เคที แมเนจเม้นท์ จำกัด
73,company,เคทูบี แอสเซทส์ จำกัด
74,company,เคปทาวน์ ศรีราชา จำกัด
75,company,เคพีเอ็น แลนด์ จำกัด
76,company,เคพีเอ็น กรุ๊ป คอร์ปอเรชั่น จำกัด
77,company,เคอร์เทซี เซอร์วิสเซส คอร์ปอเรชั่น จำกัด
78,company,เคอร์รี่ อินเตอร์เนชั่นแนล โฮลดิ้งส์ จำกัด
79,company,เคอาร์ แอนด์ แอสโซซิเอทส์ จำกัด (สาขาประชาชื่นเรสซิเด้นซ์)
80,company,เคอาร์แอนด์แอสโซซิเอทส์ จำกัด
81,company,เคอาร์แอนด์แอสโซซิเอทส์ จำกัด (สาขาประชาชื่นเรสซิเด้นซ์)
82,company,เงินเพิ่มพูล จำกัด
83,company,เจ เอส แอสเสท จำกัด
84,company,เจ เอส แอสเสท จำกัด (สำนักงานใหญ่)
85,company,เจ ไลน์ แมเนจเม้นท์ จำกัด
86,company,เจ พลัส พร็อพเพอร์ตี้ เมเนจเม้นท์ จำกัด
87,company,เจ อาร์ วาย พัฒนา กรุ๊ป จำกัด
88,company,เจ.เอส.พี.พร็อพเพอร์ตี้ จำกัด (มหาชน)
89,company,เจ.ดับบลิว.เรียลเอสเตท จำกัด
90,company,เจเอเอส แอสเซ็ท จำกัด (มหาชน)
91,company,เจโม เซอร์วิส จำกัด
92,company,เจโมเพย์พ้อย จำกัด
93,company,เจไอพีเอ็ม จำกัด
94,company,เจดับบลิว เรียลเอสเตท จำกัด
95,company,เจนัส เเมเนจเม้นท์ จำกัด
96,company,เจนัส เเมเนจเม้นท์ จำกัด (สำนักงานใหญ่)
97,company,เจนัส แมเนจเม้นท์ จำกัด
98,company,เจนัส อินเตอร์เนชั่นแนล พรอพเพอร์ตี้ แมเนจเม้นท์ จำกัด
99,company,เจริญกรุง พรอพเพอร์ตี้ จำกัด
100,company,เจริญพัฒนาอาเขต จำกัด
101,company,เชน คอมมูนิตี้ แมนเนจเม้นท์ จำกัด
102,company,เซ็น เอกซ์ พร็อพเพอร์ตี้ แมเนจเม้นท์ จำกัด
103,company,เซ็นทรัลพัฒนา ขอนแก่น จำกัด
104,company,เซอร์วิส จำกัด
105,company,เณศนเรศวร อพาร์ทเมนท์
106,company,เดอะ 63 ทวินส์ เรสซิเดนท์ จำกัด
107,company,เดอะ เบสท์ การบัญชี จำกัด
109,company,เดอะ เบสท์ วัน อพาร์ทเมนท์
110,company,เดอะ ซันซิตี้ จำกัด
111,company,เดอะ ทรอปิคอล แอสเซท จำกัด
112,company,เดอะ วัน แมเนจเม้นท์ จำกัด
113,company,เดอะ สมาร์ท กรุ๊ป จำกัด
114,company,เดอะเบสท์ การบัญชี จำกัด
115,company,เดอะเวิร์คส์ คอมมิวนิตี้ แมนเนจเม้นท์
116,company,เดอะเวิร์คส์ คอมมิวนิตี้ แมนเนจเม้นท์ จำกัด
117,company,เดอะไนน์ พร๊อพเพอร์ตี้ แมเนจเมนท์ จำกัด
119,company,เดอะกั๊มคอนโดมิเนียม
120,company,เดอะซิตี้พร็อพเพอร์ตี้ จำกัด
121,company,เดอะบียอนด์ จำกัด
122,company,เดอะวันแมเนจเม้นท์ จำกัด
123,company,เดอะสมาร์ท กรุ๊ป จำกัด
124,company,เดอะสมาร์ท กรุ๊ป จำกัด (สำนักงานใหญ่)
125,company,เตชะไพบูลย์ จำกัด
126,company,เตชะไพบูลย์ จำกัด (สาขา 2)
127,company,เตียง จิราธิวัฒน์ จำกัด
128,company,เตียงจิราธิวัฒน์ จำกัด (สาขา พระราม 2)
129,company,เทอม แคปปิตอล แมเนจเม้นท์ จำกัด
130,company,เทียนเฉิน อินเตอร์เนชั่นแนล พร็อพเพอร์ตี้ (ไทยแลนด์) จำกัด
131,company,เนชั่น คอนเซาท์ จำกัด
132,company,เนชั่น คอนเซ้าท์ จำกัด
133,company,เบเน่ เบเน่
134,company,เบเน่ เบเน่ จำกัด
135,company,เบ็ล ดีเวลลอปเมนท์ จำกัด
136,company,เพกาซัส อินเตอร์เนชันแนล จำกัด
137,company,เพชรบุญมา จำกัด
138,company,เพรสทีจ เรสซิเด้นท์ จำกัด
139,company,เพลน แลนด์ จำกัด
140,company,เพอร์เฟค เพรสทิจ พร็อพเพอร์ตี้ จำกัด
141,company,เพอร์เฟค พร็อพเพอร์ตี้ แอนด์ แอคเค้าท์ติ้ง จำกัด
143,company,เพาเวอร์ พลัส โฟลว์ แมนเนจเมนท์ จํากัด
144,company,เพิ่มพูล ประสิทธิ์-ตุ๊ จำกัด
145,company,เฟรเกรนท์ พร็อพเพอร์ตี้ แมเนจเม้นท์
146,company,เฟรเกรนท์ พร็อพเพอร์ตี้ แมเนจเม้นท์ จำกัด
147,company,เฟรเกรนท์ พร็อพเพอร์ตี้ จำกัด
148,company,เฟรเกรนท์ พร็อพเพอร์ตี้ จำกัด มหาชน
149,company,เฟิรส์ แปซิฟิก ฮาริสัน จำกัด
150,company,เฟิร์ส แปซิฟิค ฮาริสัน จำกัด
152,company,เมเจอร์ เรสซิเด้นส์ จำกัด
153,company,เมเจอร์ ดีเวลลอปเม้นท์ พร็อพเพอร์ตี้
154,company,เมเจอร์ ดีเวลลอปเม้นท์ พร็อพเพอร์ตี้ พาร์ทเนอร์ส จำกัด
155,company,เมเจอร์ พร็อพเพอร์ตี้ เซอร์วิส จำกัด
156,company,เมเจอร์พรอพเพอร์ตี้ คอนซัลแทนท์ จำกัด
157,company,เมโทร พรอพเพอร์ตี้ แมเนจเม้นท์ จำกัด
158,company,เมกะ พร็อพเพอร์ตี้ แมเนจเม้นท์ แอนด์
159,company,เมกะ พร็อพเพอร์ตี้ แมเนจเม้นท์ แอนด์ คอนซัลแทนซี่ จำกัด
160,company,เมกะ พลัส พร็อพเพอร์ตี้ แมเนจเม้นท์ จำกัด
162,company,เมนเฟรท โลจิสติกส์ (ไทยแลนด์) จำกัด
163,company,เมอริท โฮลดิ้งส์ (1989) จำกัด
164,company,เมืองทอง เซอร์วิสเซส แอนด์ แมเน็จเม้นท์ จำกัด
165,company,เมืองทอง เซอร์วิสเซส แอนด์ แอนด์ แมเน็จเม้นท์ จำกัด
166,company,เมืองพัฒนา จำกัด
167,company,เรสซิเด้นท์เชียล เซอร์วิส จำกัด
168,company,เรียลแมนเนจเม้นท์ 2552 จำกัด
169,company,เรียลแอสเสท ดีเวลลอปเม้นท์ จำกัด
170,company,เรียลพร็อพเพอร์ตี้แมเนจเม้นท์ จำกัด
172,company,เรือนจามจุรี จำกัด
173,company,เวลธ์ ดีเวลลอปเปอร์ จำกัด
174,company,เวอร์ติคอล จำกัด
176,company,เวอร์ติพลัส 98 จำกัด
178,company,เวิร์ค อีท เพลย์ จำกัด
179,company,เวิร์คพลัส พร็อพเพอร์ตี้ แมเนจเม้นท์ จำกัด
180,company,เศรษฐธนาแลนด์ จำกัด
181,company,เอ เค คอมพิวเตอร์
182,company,เอ พลัส เรียลเอสเตท จำกัด
183,company,เอ.เอ็ม.เอส. ลิสซิ่ง จำกัด
184,company,เอ.ซี. พร็อพเพอร์ตี้ กรุ๊ป จำกัด
186,company,เอ.บี. เดคคอร์เรท จำกัด (สำนักงานใหญ่)
187,company,เอ.บี.เดคคอร์เรท จำกัด
188,company,เอเวอร์นิว พลาซ่า จำกัด
189,company,เอไอเอ็ม รีท แมนเนจเม้นท์ จำกัด
190,company,เอ็กเซลโฮลดิ้ง จำกัด
191,company,เอ็กซ์เซล แอสแซทส์ จำกัด
192,company,เอกพิพัฒนา จำกัด
193,company,เอคควิตี้ พร็อพเพอร์ตี้ แมเนจเม้นท์ จำกัด
195,company,เอคิว พร๊อพเพอร์ตี้ แมเนจเม้นท์ จำกัด
196,company,เอจีซี มาเท็กซ์ (ไทยแลนด์) จำกัด
197,company,เอช ที อาร์ จำกัด
198,company,เอชบี แอสเสท แมเนจเม้นท์ แอนด์ เซอร์วิส จำกัด
199,company,เอชบี อินเตอร์ เรียลตี้ แมเนจเม้นท์
200,company,เอชบี อินเตอร์ เรียลตี้ แมเนจเม้นท์ จำกัด
201,company,เอชอาร์.ไดเจสท์ (2013) จำกัด
202,company,เอซีอาร์ แมเนจเม้นท์ จำกัด
203,company,เอ็น แอนด์ เอฟ เซอร์วิส จำกัด
204,company,เอ็น อาร์ พร็อพเพอร์ตี้ จำกัด
205,company,เอ็น.วี.วอล จำกัด
206,company,เอ็นทรัส พร๊อพเพอร์ตี้ จำกัด
