ticket_id,year,date,company_id,management_id,status_id,phone1_id,phone2_id,phone3_id,question_id,solve_id
1,2026,NULL,1285,NULL,811,NULL,3006,NULL,163,20881
2,2026,NULL,5410,NULL,866,NULL,5136,NULL,34,10474
3,2026,NULL,7127,407,1347,1839,NULL,NULL,138,NULL
4,2026,NULL,3052,NULL,1552,957,NULL,NULL,156,19519
5,2026,NULL,6898,800,974,2432,NULL,NULL,68,20991
6,2026,NULL,7649,NULL,801,NULL,5309,NULL,57,11498
7,2026,NULL,6256,NULL,828,NULL,1270,NULL,151,20881
8,2026,NULL,2244,NULL,866,NULL,NULL,5831,63,8647
9,2026,NULL,6461,NULL,854,NULL,4078,NULL,59,6580
10,2026,NULL,3956,NULL,866,NULL,3805,NULL,156,20130
11,2026,NULL,5685,NULL,1695,NULL,2385,NULL,46,15170
12,2026,NULL,5210,NULL,828,NULL,1305,NULL,41,NULL
13,2026,NULL,6374,NULL,839,NULL,4860,NULL,141,22622
14,2026,NULL,5136,NULL,NULL,NULL,NULL,NULL,139,NULL
15,2026,NULL,3223,NULL,847,NULL,3588,NULL,173,20881
16,2026,NULL,4301,NULL,1332,NULL,2196,NULL,106,14837
17,2026,NULL,3348,NULL,788,NULL,915,NULL,77,8647
18,2026,NULL,6550,NULL,1012,NULL,NULL,4267,189,21455
19,2026,NULL,6256,NULL,828,NULL,1270,NULL,156,5206
20,2026,NULL,5946,NULL,784,NULL,4041,NULL,12,5620
21,2026,NULL,6211,NULL,784,NULL,NULL,2625,11,5620
22,2026,NULL,3416,NULL,806,NULL,4837,NULL,156,NULL
23,2026,NULL,2384,NULL,932,NULL,2074,NULL,156,19104
24,2026,NULL,6550,NULL,1012,NULL,NULL,4267,105,14837
25,2026,NULL,2384,NULL,932,NULL,2074,NULL,156,8647
26,2026,NULL,6635,626,1332,NULL,4238,NULL,164,17714
27,2026,NULL,6643,NULL,847,NULL,NULL,197,31,6081
28,2026,NULL,5918,NULL,866,NULL,NULL,1318,2,19897
29,2026,NULL,5040,NULL,788,NULL,1636,NULL,189,15170
30,2026,NULL,1207,NULL,801,NULL,1701,NULL,39,6576
31,2026,NULL,5822,NULL,854,NULL,5016,NULL,61,8647
32,2026,NULL,3260,NULL,1332,NULL,NULL,4943,156,20881
33,2026,NULL,34,NULL,994,NULL,NULL,1759,32,19733
34,2026,NULL,5655,NULL,1332,NULL,729,NULL,106,20881
35,2026,NULL,1088,803,693,NULL,NULL,6673,147,20957
36,2026,NULL,34,NULL,994,NULL,NULL,1759,135,19069
37,2026,NULL,5210,NULL,828,NULL,1305,NULL,132,15170
38,2026,NULL,5533,NULL,801,1031,1757,NULL,121,8647
39,2026,NULL,3566,NULL,801,NULL,NULL,5962,94,20881
40,2026,NULL,6514,NULL,806,NULL,NULL,3132,178,20881
41,2026,NULL,6402,NULL,806,NULL,NULL,1706,1,20957
42,2026,NULL,6519,NULL,1005,NULL,4957,7113,67,8647
43,2026,NULL,6384,NULL,839,NULL,5481,NULL,93,20881
44,2026,NULL,6402,NULL,806,NULL,NULL,1706,114,NULL
45,2026,NULL,2148,809,1444,NULL,3562,NULL,191,20881
46,2026,NULL,7107,392,1483,NULL,1288,NULL,156,20881
47,2026,NULL,6998,364,1492,NULL,1121,NULL,38,8568
48,2026,NULL,5706,NULL,828,NULL,NULL,2585,156,20881
49,2026,NULL,2498,496,796,50,5258,NULL,186,NULL
50,2026,NULL,6478,NULL,866,NULL,4043,NULL,67,14837
51,2026,NULL,6248,680,820,2113,NULL,NULL,110,6367
52,2026,NULL,2989,NULL,1332,NULL,4914,NULL,156,20881
53,2026,NULL,1520,NULL,801,NULL,3890,NULL,128,15170
54,2026,NULL,5209,NULL,828,NULL,1576,NULL,100,6576
55,2026,NULL,2886,344,736,NULL,1653,NULL,83,20881
56,2026,NULL,6853,NULL,811,NULL,1207,NULL,67,20881
57,2026,NULL,6444,NULL,796,NULL,4150,NULL,156,6576
58,2026,NULL,3135,NULL,801,NULL,NULL,2837,159,20881
59,2026,NULL,5289,NULL,828,NULL,NULL,5629,30,14981
60,2026,NULL,5706,NULL,828,NULL,NULL,2585,155,8647
61,2026,NULL,5655,NULL,1332,NULL,729,NULL,61,20881
62,2026,NULL,5448,NULL,796,1163,NULL,NULL,33,5932
63,2026,NULL,3855,NULL,828,NULL,5436,NULL,49,14057
64,2026,NULL,5382,857,796,2475,NULL,NULL,73,8359
65,2026,NULL,5704,NULL,866,NULL,3727,NULL,149,5477
66,2026,NULL,6717,NULL,811,NULL,2897,NULL,26,15170
