management_id,Management
1,( เฟิร์ส แปซิฟิค ฮาริสัน)(First Pacific)
2,( บ.กู๊ด แอสเซท แมเเนจเม้นท์ )
3,( บ.บิ๊ก ทรี แอสเสท (Big Tree Asset)
4,( บ.รัศมิ์ลภัส)
5,((จัดการทรัพย์สินและชุมชน(CEMCO))>>
6,((บ. เอสเอ็มซี พร็อพเพอร์ตี้ ซอฟต์ (SMC))>>
7,((บ.ทัฟฟ์ เซอร์วิส (Tuff Servic )(CRM)(บริหาร))
8,((บ.ทัฟฟ์ เซอร์วิส(CRM)(บริหาร))
9,((บ.ลีฟ อัลติเมท แวลูส์(บริหาร))
10,(BM Group (บริหาร)
11,(BM Group(บริหาร)
12,(CBM) Facilities Management
13,(CBM)บ. รักษาความปลอดภัย ซีบีเอ็ม แฟซิลิตี้ส์ แมนเนจเม้นท์
14,(Cemco)
15,(CPN)
16,(IQ)
17,(IRM บริหาร)
18,(IRM บริหาร))
19,(Knight Frank)
20,(KSE Realty เคเอส)
21,(KSE Realty เคเอสอี เรียลตี้ แมนเนจเมนท์)
22,(Major Property Service)
23,(Major Property)
24,(NEW)(จะโอนภายในวันที่ 31/5/64)
25,(One Propery)
26,(PA Linn)
27,(PLM)
28,(PMC )บ.พร็อพเพอร์ตี้ แมเนจเม้นท์ คอนโทรล
29,(PMC)
30,(P-Plus)
31,(Raimond Land Unixx)
32,(RPM )เรียลพร็อพเพอร์ตี้
33,(RSG ) (อาร์เอสจี แบง พร็อพเพอร์ตี้ แมเนจเม้นท์)
34,(RSG ) (อาร์เอสจี แบง พร็อพเพอร์ตี้ แมเนจเม้นท์) 02-249-8849 คุณขวัญ ออกใบเสร็จไม่ได้
35,(RSG)
36,(RSG)บ.อาร์เอสจี แบง พร็อพเพอร์ตี้ แมเนจเม้นท์
37,(Savills)
38,(Silk Road Place)
39,(Smart Service)
40,(SMC)
41,(Thai Asset Property)
42,(Ville วิลล์คอน)
43,(Villecon วิลล์คอน)
44,(Villecon)
45,(เจนัส (Janus)
46,(เจนัส)
47,(เพกาซัส)
48,(เฟิร์ส แปซิฟิค ฮาริสัน)
49,(เมโทร)
50,(เมกะ พร็อพเพอร์ตี้ แมเนจเม้นท์ แอนด์ คอนซัลแทนซี่ )(Mega)
51,(เรียลพร็อพเพอร์ตี้ (RPM )(บริหาร)))
52,(เอคควิตี้ พร็อพเพอร์ตี้ แมเนจเม้นท์)
53,(เอซีอาร์ แมเนจเม้นท์ ( Acute )บริหาร))
54,(เอฟ พร็อพเพอร์ตี้ F Property)
55,(เอส.เอ็ม.เดคคอร์เรชั่น ) SM
56,(แอ็บสแตร็กส์ (Abstract)
57,(ไนท์แฟรงค์( Knight Frank)
58,(กู๊ด แอสเซท แมเเนจเม้นท์ )
59,(จี วัน แลนด์ (G/1 Land))
60,(ซื้อโปรแกรม GL ส่วนตัว)
61,(ทรู พร็อพเพอร์ตี้ เซอร์วิส True Property)
62,(นีโอ เรสสิเด้นส์ แมเนจเมนท์)
63,(บ. เฟิร์ส แปซิฟิค ฮาริสัน (First Pacific)
64,(บ. เมกะ พร็อพเพอร์ตี้)
65,(บ. เมกะ พลัส พร็อพเพอร์ตี้ แมเนจเม้นท์(Mega Property)
66,(บ. เอ.ซี. พร็อพเพอร์ตี้ กรุ๊ป)
67,(บ. เอสเอ็มซี พร็อพเพอร์ตี้ ซอฟต์ (SMC))
68,(บ. เอสเอ็มซี พร็อพเพอร์ตี้ ซอฟต์ (SMC)))>>
69,(บ. เอสเอ็มซี พร็อพเพอร์ตี้ ซอฟต์ (SMC))>>
70,(บ. ดี เวล แกรนด์ แอสเสท )
71,(บ. พาร์ทเนอร์ คลับ)
72,(บ. พี.พลัส พร็อพเพอร์ตี้ แมเนจเม้นท์ (P-Plus)
73,(บ. ยูไลฟ์ )
74,(บ. ริช พร็อพเพอร์ตี้ แมเนจเม้นท์ ( Rich Property ))
75,(บ. ริช พร็อพเพอร์ตี้ แมเนจเม้นท์)
76,(บ. วาย แอล พี)
77,(บ.Building Desing 2549)
78,(บ.เคเอสอี เรียลตี้ แมนเนจเมนท์ (KSE Realty )
79,(บ.เคอร์เทซี เซอร์วิสเซส คอร์ปอเรชั่น )
80,(บ.เซ็นจูรี่ ทเวนตี้วัน พร็อพเพอร์ตี้ เอมส์ (Century 21 Property Aims) (บริหาร))
81,(บ.เซ็นจูรี่ ทเวนตี้วัน พร็อพเพอร์ตี้ เอมส์(บริหาร)
82,(บ.เซ็นจูรี่ ทเวนตี้วัน พร็อพเพอร์ตี้ เอมส์(บริหาร))
83,(บ.เดอะไนน์ พร๊อพเพอร์ตี้ แมเนจเมนท์ (The Nine)
84,(บ.เดอะไนน์ พร๊อพเพอร์ตี้ แมเนจเมนท์(The Nine Property)
85,(บ.เดอะไนน์ พร๊อพเพอร์ตี้ แมเนจเมนท์(The Nine)
86,(บ.เดอะไนน์ พร๊อพเพอร์ตี้ แมเนจเมนท์)
87,(บ.เดอะไนน์)
88,(บ.เดอะสมาร์ท กรุ๊ป)
89,(บ.เบเน่ เบเน่ (Bene Bene)
90,(บ.เบเน่ เบเน่)
91,(บ.เพกาซัส อินเตอร์เนชันแนล)
92,(บ.เพอร์เฟค พร็อพเพอร์ตี้ แอนด์ แอคเค้าท์ติ้ง)
93,(บ.เฟิร์ส แปซิฟิค ฮาริสัน (First Pacific)(บริหาร)
94,(บ.เมเจอร์ พร็อพเพอร์ตี้ เซอร์วิส (Major Property Service)
95,(บ.เมเจอร์ พร็อพเพอร์ตี้ เซอร์วิส (Major Property Service)(บริหาร)
96,(บ.เมเจอร์ พร็อพเพอร์ตี้ เซอร์วิส (Major Property Service)(บริหาร))
97,(บ.เมโทร พรอพเพอร์ตี้ แมเนจเม้นท์ (Metro)
98,(บ.เมโทร พรอพเพอร์ตี้ แมเนจเม้นท์ (Metro)(บริหาร)
99,(บ.เมโทร พรอพเพอร์ตี้ แมเนจเม้นท์ (Metro)(บริหาร))
100,(บ.เมโทร พรอพเพอร์ตี้แมเนจเม้นท์ (Metro ProPerty)(บริหาร)
101,(บ.เมกะ พร็อพเพอร์ตี้ แมเนจเม้นท์ แอนด์ คอนซัลแทนซี่ )(บริหาร)
102,(บ.เมกะ พร็อพเพอร์ตี้ แมเนจเม้นท์ แอนด์ คอนซัลแทนซี่(บริหาร))
103,(บ.เมกะ/บ.ออลล์ไรซ์)
104,(บ.เรียลแมนเนจเม้นท์ 2552 ( Real Management 2552 )
105,(บ.เรียลพร็อพเพอร์ตี้แมเนจเม้นท์( RPM)(บริหาร)
106,(บ.เวอร์ติคอล (Vertical)
107,(บ.เศรษฐธนาแลนด์)
108,(บ.เอคควิตี้ พร็อพเพอร์ตี้ แมเนจเม้นท์ (Equity)
109,(บ.เอคิว พร๊อพเพอร์ตี้ แมเนจเม้นท์ (IQ)
110,(บ.เอซีอาร์ แมเนจเม้นท์ ( Acute)(บริหาร)
111,(บ.เอซีอาร์ แมเนจเม้นท์ (Acute)(ACRM)(บริหาร)>>
112,(บ.เอ็นพี ซิสเท็มเซอร์วิส (บริหาร)
113,(บ.เอฟ พรอพเพอร์ตี้ แมเนจเม้นท์ (F Property)
114,(บ.เอฟ พรอพเพอร์ตี้ แมเนจเม้นท์ (F Property) >>
115,(บ.เอฟ พรอพเพอร์ตี้ แมเนจเม้นท์ (F Property)(บริหาร)
116,(บ.เอฟ พรอพเพอร์ตี้ แมเนจเม้นท์ )(F Property)
117,(บ.เอ็มคิวดีซี เคอร์เทซี เซอร์วิส คอร์ปอเรชั่น )(QMDC)
118,(บ.เอ็มคิวดีซี เคอร์เทซี เซอร์วิส คอร์ปอเรชั่น) (MQDC Courtesy)
119,(บ.เอ็มดีเอ็ม แมเนจเม้นท์ กรุ๊ป (ADM )
120,(บ.เอ็มดีเอ็ม แมเนจเม้นท์ กรุ๊ป (MDM )
121,(บ.เอ็มดีเอ็ม แมเนจเม้นท์ กรุ๊ป (MDM)
122,(บ.เอส.เอ็ม.เดคคอร์เรชั่น ) (SM Decoration)
123,(บ.เอสเอ็มซี พร็อพเพอร์ตี้ ซอฟต์ (SMC)
124,(บ.เอสเอ็มซี พร็อพเพอร์ตี้ ซอฟต์ (SMC))
125,(บ.แกรนด์ เวิร์ค พลัส แอสเสท)
126,(บ.แกรนด์ แอสเซท พรอสเพอริตี้ (Grand Asset Prosperity)
127,(บ.แกรนด์ แอสเซท พรอสเพอริตี้)(Grand Asset Prosperity)
128,(บ.แซนด์ แอนด์ สโตน (Sand & Stone)
129,(บ.โบ๊เบ๊ทาวเวอร์)
130,(บ.โมเดอร์น พร็อพเพอร์ตี้ แมเนจเม้นท์)
131,(บ.ไทย แอซเซ็ท พร็อพเพอร์ตี้ แอนด์ เจ.พี (Thai Asset Property)
132,(บ.ไทย แอซเซ็ท พร็อพเพอร์ตี้ แอนด์ เจ.พี (Thai Asset Property))
133,(บ.ไทย แอซเซ็ท พร็อพเพอร์ตี้ แอนด์ เจ.พี )
134,(บ.ไทย แอซเซ็ท พร็อพเพอร์ตี้ แอนด์ เจ.พี)
135,(บ.ไทย แอซเซ็ท พร็อพเพอร์ตี้ แอนด์ เจ.พี) (Thai Asset Property)
136,(บ.ไทย แอซเซ็ท พร็อพเพอร์ตี้ แอนด์ เจ.พี)(บริหาร)
137,(บ.ไทย แอสเสท กรุ๊ป)
138,(บ.ไบรท์ ดีเวลลอปเมนท์ กรุงเทพ)
139,(บ.ไบร์ท พร็อพเพอร์ตี้ เซอร์วิสเซส )
140,(บ.ไพรม์ พร็อพเพอร์ตี้ กรุ๊ป (Prime Property Group)
141,(บ.ไพรม์ พร็อพเพอร์ตี้ กรุ๊ป (Prime Property Group)(บริหาร))
142,(บ.ไอคิว แมเนจเม้นท์
143,(บ.ไอสไตล์ พร็อพเพอร์ตี้( I Style)บ.ไอคิว แมเนจเม้นท์ (IQ)
144,(บ.กรุ๊ป 5 ฟะซิลลิที แมเนจเม้นท์ (Group 5 Facility)
145,(บ.กรุ๊ป 5 ฟะซิลลิที แมเนจเม้นท์ (Group 5 Facility)>>
146,(บ.กลาสเฮ้าส์ รัชดา(Glass House)
147,(บ.กู๊ด แอสเซท แมเเนจเม้นท์ (Good Asset)
148,(บ.คิง เมเนจเม้นท์ (บริหาร)
149,(บ.จงรัก พร็อพเพอร์ตี้ แมเนจเมนท์)
150,(บ.จัดการทรัพย์สินและชุมชน (CEMCO)
151,(บ.ซาวิลส์ (Savills)
152,(บ.ซาวิลส์ (Savills)>>
153,(บ.ซุปเปอร์ทีม แมนเนจเม้นท์ (STM))
154,(บ.ณวรางค์ แอสเซท)
155,(บ.ดับเบิ้ลยู เอ.เอ็ม.รุ่งเรือง แมเนจเม้นท์ (WAM)
156,(บ.ดับเบิ้ลยู เอ.เอ็ม.รุ่งเรือง แมเนจเม้นท์ (WAM))
157,(บ.ดิเอ็กเซลเลนซ์ (THE EXCELLENCE) (บริหาร)
158,(บ.ทรู พร็อพเพอร์ตี้ เซอร์วิส( True Property)(บริหาร)
159,(บ.ทรู พร็อพเพอร์ตี้ เซอวิส (True Property )
160,(บ.ทรูพร็อพเพอร์ตี้ เซอร์วิส (True Property )(บริหาร)
161,(บ.ทรูพร็อพเพอร์ตี้ เซอร์วิส(True Property)
162,(บ.ทรูพร็อพเพอร์ตี้ เซอร์วิส) (True Property)
163,(บ.ทองหล่อ เมเนจเม้นท์ )
164,(บ.ทองหล่อเมเนจเม้นท์)
165,(บ.ทัฟฟ์ เซอร์วิส (Tuff Servic )(CRM)
166,(บ.ทัฟฟ์ เซอร์วิส (Tuff Servic )(CRM)(บริหาร)
167,(บ.ทัฟฟ์ เซอร์วิส (Tuff Servic )(CRM)(บริหาร))
168,(บ.ทัฟฟ์ เซอร์วิส(CRM Tuff Service( บริหาร))
169,(บ.ทำแทน แมเนจเม้นท์ )(บริหาร))
170,(บ.ทีซี พร็อพเพอร์ตี้ (TC Property)
171,(บ.นีโอ เรสสิเดนส์ แมเนจเมนท์)
172,(บ.บอส เซอร์วิส พลัส (Boss Service Plus )
173,(บ.บัณฑิตทาวน์)
174,(บ.บิ๊ก ทรี แอสเสท(บริหาร))
175,(บ.บิซิเนส พร๊อพเพอร์ตี้ แมเนจเม้นท์ (BPM)
176,(บ.บิยอนด์ พรอพเพอร์ตี้ แมเนจเม้นท์ (บริหาร))>>
177,(บ.บิลท์ ฮาร์ท(Built Heart)
178,(บ.บี เอส เอเจนซี่)
179,(บ.พรไพลิน)
180,(บ.พรพลาซ่า พรอพเพอร์ตี้)
181,(บ.พร็อพเพอร์ตี้ แมเนจเม้นท์ คอนโทรล (PMC)
182,(บ.พร็อพเพอร์ตี้ แมเนจเม้นท์ คอนโทรล( PMC)
183,(บ.พร็อพเพอร์ตี้ แมเนจเม้นท์ คอนโทรล( PMC)(บริหาร))
184,(บ.พร็อพเพอร์ตี้ แมเนจเม้นท์ คอนโทรล( PMC)))>>
185,(บ.พร็อพเพอร์ตี้ แอนด์ ไลฟ์ แมเนจเม้นท์ (PLM)
186,(บ.พร็อพเพอร์ตี้ แอนด์ ไลฟ์ แมเนจเม้นท์ (PLM)(บ.บริหาร)
187,(บ.พรอพเพอร์ตี้ โปร บิวดิ้ง แมเนจเม้นท์ )
188,(บ.พรอพเพอร์ตี้ โปร บิวดิ้ง แมเนจเม้นท์)
189,(บ.พิชชา พร็อพเพอร์ตี้แมเนจเม้นท์ (บริหาร)
190,(บ.พี เอ ลินน์ ฟิลลิปส์ (PA Linn)
191,(บ.พี แลนด์ แอนด์ เฮ้าส์ เซอร์วิส)
192,(บ.พี.เอ.เอ็น เรียลเอสเตท แมนเนจเม้นท์ (PAN)
193,(บ.พี.พลัส พร็อพเพอร์ตี้ แมเนจเม้นท์ (P-Plus) ยังไม่ชำระเงิน
194,(บ.พี.พลัส พร็อพเพอร์ตี้ แมเนจเม้นท์( P-Plus)
195,(บ.พี.พลัส พร็อพเพอร์ตี้ แมเนจเม้นท์( P-Plus)(บริหาร)
196,(บ.พี.พลัส พร็อพเพอร์ตี้ แมเนจเม้นท์(P-PLUS )(บริหาร)
197,(บ.พีเคเค พร็อพเพอร์ตี้ แมเนจเม้นท์ ( PKK)
198,(บ.พีพีเอ็ม เเมนเนจเมนท์ (PPM)
199,(บ.พีพีเอ็ม เเมนเนจเมนท์ (PPM)(บริหาร)
200,(บ.พีพีเอ็ม เเมนเนจเมนท์ (PPM)(บริหาร))
201,(บ.พีพีเอ็ม เเมนเนจเมนท์ (PPM)(บริหาร))>>
