phone1_id,phone1,new_phone1_id
1,(02-574-0166),1
8,27148942,2
9,20466392,4
10,022855438-43ต่อ2002คุณหญิง,5
11,02391-8580,6
12,024384411-2(นิติฯ),9
13,02-000-0037,10
14,02-000-0090(นิติฯ),11
15,02-000-0090,11
16,02-000-0923(นิติฯ),12
17,02-000-1355(นิติฯ),NULL
18,02-000-2157(นิติ),NULL
19,02-000-2157(นิติฯ),NULL
20,02-000-3348,NULL
21,02-000-3348(นิติฯ),NULL
22,02-000-3348,NULL
23,02-000-5161,NULL
24,02-001-0504,NULL
25,02-0015868,NULL
26,02-001-5868,NULL
27,02-002-7101(นิติฯ),NULL
28,02-002-8745(นิติฯ),NULL
29,02-002-8745(นิติฯ),NULL
30,02-002-9266,NULL
31,02-002-9266#106(บริษัท),NULL
32,02-002-9266(บริษัท),NULL
33,02-002-9266(บริษัท),NULL
34,02-002-9266,NULL
35,02-002-9266-7,NULL
36,02-002-9266-8(บริษัท),NULL
37,02-004-3030(นิติฯ),NULL
38,02-004-4586(นิติฯ),NULL
39,02-004-4586,NULL
40,02-004-7790,NULL
41,02-004-8461,NULL
42,02-005-1313,NULL
43,02-005-1313(นิติฯ),NULL
44,02-005-1558,NULL
45,02-005-7700,NULL
46,02-005-7700(นิติฯ),NULL
47,02-005-7700(นิติฯ),NULL
48,02-005-770002-005-7711,NULL
49,02-005-771102-005-7700,NULL
50,02-006-3800(นิติฯ),NULL
51,02-006-4933,NULL
52,02-006-6413,NULL
53,02-006-9006,NULL
54,02-006-9006(นิติฯ),NULL
55,02-006-9564,NULL
56,02-007-3121,NULL
57,02-007-3121คุณดาวคุณมะปราง,NULL
58,02-007-3121(นิติฯ),NULL
59,02-007-4588,NULL
60,02-007-7075(นิติฯ),NULL
61,02-009-2544(บริษัท),NULL
62,02-012-1588(นิติฯ),NULL
63,02-012-1602(นิติฯ),NULL
64,02-012-6863,NULL
65,02-012-6863(บริษัท),NULL
66,02-012-6863(บริษัท),NULL
67,02-012-6863,NULL
68,02-012-6863-4,NULL
69,02-012-6863-4(บริษัท),NULL
70,02-012-6863-4(บริษัท),NULL
71,02-012-6863-4(บริษัท)02-069-7098(นิติฯ),NULL
72,02-012-6863-4(บริษัท),NULL
73,02-012-6863-4,NULL
74,02-012-6864,NULL
75,02-012-7424,NULL
76,02-012-7424(บริษัท),NULL
77,02-012-7424,NULL
78,02-012-7424-5,NULL
79,02-013-0944,NULL
80,02-013-0944(นิติฯ),NULL
81,02-015-2436,NULL
82,02-015-2436(นิติฯ),NULL
83,02-015-7643,NULL
84,02-017-9135,NULL
85,02-019-1487,NULL
86,02-019-5535,NULL
87,02-019-7136(นิติฯ),NULL
88,02-020-8465,NULL
89,02-020-8465(นิติฯ),NULL
90,02-023-2000,NULL
91,02-023-2000(นิติฯ),NULL
92,02-023-2312(บริษัท),NULL
93,02-023-2312(บริษัท),NULL
94,02-023-2312(บริษัท),NULL
95,02-023-2891,NULL
96,02-023-2891(นิติฯ),NULL
97,02-023-2892#129(บริษัท),NULL
98,02-023-4706,NULL
99,02-023-5461,NULL
100,02-023-6878,NULL
101,02-023-6878(นิติฯ),NULL
102,02-023-6878(นิติฯ),NULL
103,02-023-7329,NULL
104,02-024572902-4539643,NULL
105,02-024-6831(นิติฯ),NULL
106,02-024-7652,NULL
107,02-026-0989#932(บริษัท),NULL
108,02-026-0989#933(บริษัท),NULL
109,02-026-0989#933(บริษัท),NULL
110,02-026-0989#934(บริษัท),NULL
111,02-026-6537,NULL
112,02-026-6537(บริษัท),NULL
113,02-028-8696,NULL
114,02-028-8696#12(บริษัท),NULL
115,02-028-9955(บริษัท),NULL
116,02-028-9999#3327(บริษัท),NULL
117,02-028-9999ต่อ3327(บริษัท),NULL
118,02-028-9999#3327,NULL
119,02-029-9988(บริษัท),NULL
120,02-033-1811(เบอร์หน่วยงานโนเบิลรีวอล์ฟรัชดา),NULL
121,02-033-1811(นิติฯ),NULL
122,02-033-1812(นิติฯ),NULL
123,02-034-0962,NULL
124,02-034-0962(นิติฯ),NULL
125,02-034-3421,NULL
126,02-035-4788,NULL
127,02-035-4788,NULL
128,02-039-4649,NULL
129,02-039-4649#502(นิติฯ),NULL
130,02-039-4649#502,NULL
131,02-039-4649#502,NULL
132,02-039-4649(นิติฯ),NULL
133,02-039-8980(นิติฯ),NULL
134,02-041-9561,NULL
135,02-041-9561(นิติฯ),NULL
136,02-041-9561,NULL
137,02-042-9880,NULL
138,02-043-2181(นิติฯ),NULL
139,02-044-4433(นิติฯ),NULL
140,02-044-4433(นิติฯ),NULL
141,02-044-5283,NULL
142,02-044-8384,NULL
143,02-044-8384(นิติฯ),NULL
144,02-045-1285,NULL
145,02-045-1285(นิติฯ),NULL
146,02-045-1285,NULL
147,02-045-1285,NULL
148,02-045-3330,NULL
149,02-045-3330(นิติฯ),NULL
150,02-045-3330,NULL
151,02-045-8858,NULL
152,02-048-4225(นิติฯ),NULL
153,02-050-1818,NULL
154,02-050-5199(นิติฯ),NULL
155,02-050-9788(นิติฯ),NULL
156,02-051-0909,NULL
157,02-051-9900#107(นิติฯ),NULL
158,02-051-9900(นิติฯ),NULL
159,02-051-9900-3,NULL
160,02-052-8399,NULL
161,02-052-8399(นิติฯ),NULL
162,02-052-8885,NULL
163,02-052-9997,NULL
164,02-052-9997(คุณบี),NULL
165,02-052-9997(นิติฯ),NULL
166,02-053-2008,NULL
167,02-053-2008#103(นิติฯ),NULL
168,02-053-2008#103,NULL
169,02-053-2008#101,NULL
170,02-053-2008#103,NULL
