question_id,question
1,***  โทรกลับ  พฤกษา  45  ติดต่อ  นิติ  080-0735046  (สอบถามการใช้งานโปรแกรม)
2,***  โทรกลับ  พลัส  คอนโดมิเนียม  หาดใหญ่  1  ติดต่อ  คุณแต้ว  065-1656395  (ข้อมูลสำรองหาย)
3,Program  Expire
4,ออกใบเสร็จไม่ได้  Setting  Error
5,ออกใบแจ้งหนี้ปี69
6,***  IRM  (ซี๊ดมูซี่)  -  ส่งเมล์แจ้ง  ใบแจ้งหนี้  ไม่แสดงรายการยอดยกมา  ส่งต่อให้ทุกคนแล้ว  (Email:วันที่  6/1/2569)
7,***  IRM  (หน่วยงานผาสุข  A-B)  -  ส่งเมล์แจ้งให้ติดตั้งสิทธิ์  CM  ส่งต่อให้ทุกคนแล้ว  (Email:วันที่  5/1/2569)
8,***  IRM  (อารีย์สัมพันธ์)  -  ส่งเมล์แจ้งแก้ไขเวลาปริ้นแล้วกระดาษเลื่อนเลยรอยปะ  ส่งต่อให้ทุกคนแล้ว  (Email:วันที่  6/1/2569)
9,***  IRM-Extra  (เนอเทอร่า)  -  ส่งเมล์แจ้งให้ติดตั้งสิทธิ์  ส่งต่อใหุ้ทกคนแล้ว  (Email:วันที่  6/1/2569)
10,***  IRM-Extra  (อาคารปารีส)  -  ส่งเมล์แจ้งให้ติดตั้งสิทธิ์  ส่งต่อให้ทุกคนแล้ว  (Email:วันที่  6/1/2569)
11,***  Remote  Update  Program  (วันที่  2/1/2569)  ให้  ม.กัสโต้  วงแหวน-พระราม  5  ติดต่อ  คุณนุ๊ก  081-9649639  (ลูกค้าฝากเช็คให้แล้ว  วันที่  2/1/69  จำนวน  4  173  บาท)
12,***  Remote  Update  Program  (วันที่  2/1/2569)ให้  พัทยากลางเซ็นเตอร์พ้อยท์  คอนโดมิเนียม  ติดต่อ  นิติ  094-557-4099  (ลูกค้าฝากเช็คให้แล้ว)  วันที่  30/12/2568  จำนวน  4  056  บาท)  **//**
13,***  Remote  Update  Program  (วันที่  5/1/2569)  ให้  เดอะริคโค้ทาวน์  พหลโยธิน-สายไหม  ติดต่อ  คุณปทิตตา  ปุญญาคม  0972863919  (ลูกค้าโอนเงินให้แล้ว  วันที่  30/12/68  จำนวน  5  778  บาท)  **//**ออกใบเสร็จวันที่  30/12/2568  //เลขที่  68/1594
