date,rc_no,detail,price
2011-01-04,54/0001,ค่าสิทธิ์การใช้โปรแกรม ซอฟท์บิส 1 เดือน,11000
2011-01-04,54/0001,"(ธ.ค. 2553) ",NULL
2011-01-06,54/0002,MA : MEMBER,3900
2011-01-06,54/0003,โปรแกรมระบบบัญชีแยกประเภท (GL),5000
2011-01-06,54/0004,MA : MEMBER,5000
2011-01-07,54/0005,1.LAN x1,6400
2011-01-07,54/0005,2.MA : MEMBER,NULL
2011-01-10,54/0006,LAN x1,2000
2011-01-10,54/0007,1.MA : MEMBER,25600
2011-01-10,54/0007,**บริษัท  อินดี้ พร็อพเพอร์ตี้  จำกัด**,NULL
2011-01-10,54/0007,2.ค่าสิทธิ์การใช้โปรแกรม ซอฟท์บิส (CM),NULL
2011-01-10,54/0007,1 ปี ( 2 หน่วยงาน),NULL
2011-01-10,54/0007,1.นิติฯ ป.ธนาทาวเวอร์ 1,NULL
2011-01-10,54/0007,2.นิติฯ ป.ธนาทาวเวอร์ 2,NULL
2011-01-11,54/0008,โปรแกรมบัญชีหอพัก (CM),27500
2011-01-12,54/0009,LAN x1,2250
2011-01-12,54/0010,1.โปรแกรมบัญชีอาคารชุด (CM),38000
2011-01-12,54/0010,2.โปรแกรมระบบบัญชีแยกประเภท (GL),NULL
2011-01-12,54/0010,3.LAN x1 (เอส แอนด์ เอส สุขุมวิท),NULL
2011-01-12,54/0010,4.ค่าบริการย้ายโปรแกรมจาก วิลล่าสาทร,NULL
2011-01-12,54/0010,ไป นอร์ธพาร์คเพลส,NULL
2011-01-12,54/0011,โปรแกรมบัญชีอพาร์ทเม้นท์ (AM),19000
2011-01-17,54/0012,1.ค่าสิทธิ์การใช้โปรแกรม ซอฟท์บิส (CM),15200
2011-01-17,54/0012,2.ค่าสิทธิ์การใช้โปรแกรม ซอฟท์บิส (AP),NULL
2011-01-17,54/0012,3.ค่าติดตั้งโปรแกรม,NULL
2011-01-17,54/0012,**ไอดีโอ ลาดพร้าว 17**,NULL
2011-01-17,54/0013,สิทธิ์การเพิ่มทะเบียนบริษัท (1 ทะเบียน),9000
2011-01-17,54/0014,ค่าสิทธิ์การใช้โปรแกรม ซอฟท์บิส (CM),10800
2011-01-17,54/0014,**บ้านสุขุมวิท 77**,NULL
2011-01-18,54/0015,MA : MEMBER,5000
2011-01-18,54/0016,1.โปรแกรมบัญชีอาคารชุด (CM),21143.689453125
2011-01-18,54/0016,2.โปรแกรมระบบบัญชีแยกประเภท (GL),NULL
2011-01-18,54/0016,3.โปรแกรมระบบบัญชีรายจ่าย/เจ้าหนี้ (AP),NULL
2011-01-18,54/0016,4.LAN x1,NULL
2011-01-18,54/0016,5.โปรแกรมบัญชีอาคารชุด (CM),NULL
2011-01-18,54/0016,2 หน่วยงาน,NULL
2011-01-18,54/0016,**งวด 3**,NULL
2011-01-18,54/0017,โปรแกรมบัญชีอาคารชุด (CM) สำหรับ,6162.5
2011-01-18,54/0017,หน่วยงาน **นิติฯ ไอดิโอ มิกซ์ พหลโยธิน**,NULL
2011-01-18,54/0017,**งวด 2**,NULL
2011-01-18,54/0018,โปรแกรมบัญชีอาคารชุด (CM) สำหรับ,12325
2011-01-18,54/0018,หน่วยงาน **นิติฯ ไอดิโอ คิว พญาไท**,NULL
2011-01-18,54/0018,**งวด 1**,NULL
2011-01-18,54/0019,LAN x1,2000
2011-01-18,54/0020,1.ค่าสิทธิ์การใช้โปรแกรม ซอฟท์บิส (CM),22700
2011-01-18,54/0020,ระยะเวลา  1 ปี,NULL
2011-01-18,54/0020,1.The Lakes,NULL
2011-01-18,54/0020,2.เพรสซิเดนท์ พาร์ค ฮาร์เบอร์วิวมะฮอกกานี ทาวเวอร์,NULL
2011-01-18,54/0020,2.ค่าสิทธิ์การใช้โปรแกรม ซอฟท์บิส (CM),NULL
2011-01-18,54/0020,ระยะเวลา  3 เดือน,NULL
2011-01-18,54/0020,**ไอวี่ ริเวอร์**,NULL
2011-01-19,54/0021,LAN x1,2500
2011-01-19,54/0022,1.โปรแกรมบัญชีอาคารชุด (CM),17000
2011-01-19,54/0022,2.โปรแกรมระบบบัญชีแยกประเภท (GL),NULL
2011-01-19,54/0022,**งวด 1**,NULL
2011-01-19,54/0023,MA : MEMBER,3315
2011-01-19,54/0024,ค่าบริการกระชับข้อมูลนิติบุคคลฯ,5000
2011-01-21,54/0025,MA : MEMBER,3900
2011-01-21,54/0026,MA : MEMBER,6000
2011-01-21,54/0027,1.โปรแกรมบัญชีพื้นที่เช่า,18250
2011-01-21,54/0027,2.สิทธิ์การเพิ่มทะเบียนบริษัท x1,NULL
2011-01-21,54/0027,3.LAN x1,NULL
2011-01-21,54/0027,**งวด 2**,NULL
2011-01-21,54/0028,MA : MEMBER,5000
2011-01-22,54/0029,LAN x1,2500
2011-01-24,54/0030,MA : MEMBER,4672.89990234375
2011-01-24,54/0031,MA : MEMBER,3900
2011-01-26,54/0032,1.โปรแกรมบัญชีอาคารชุด (CM),16242.990234375
2011-01-26,54/0032,2.โปรแกรมระบบบัญชีแยกประเภท (GL),NULL
2011-01-26,54/0032,**งวด 2**,NULL
2011-01-26,54/0033,สิทธิ์การเพิ่มทะเบียนบริษัท (1 ทะเบียน),9000
2011-01-31,54/0034,1.ค่าสิทธิ์การใช้โปรแกรม ซอฟท์บิส (CM),12800
2011-01-31,54/0034,2.ค่าติดตั้งโปรแกรม,NULL
2011-01-31,54/0034,**หน่วยงาน  เดอะสตาร์ บี**,NULL
2011-02-01,54/0035,1.โปรแกรมบัญชีอาคารชุด (CM),29250
2011-02-01,54/0035,2.โปรแกรมระบบบัญชีแยกประเภท(GL),NULL
2011-02-01,54/0035,3.โปรแกรมระบบบัญชีรายจ่าย/เจ้าหนี้(AP),NULL
2011-02-01,54/0035,**ม.มัณฑนา และบุศรินทร์ ธนบุรีรมย์**,NULL
2011-02-01,54/0036,1.โปรแกรมบัญชีอาคารชุด (CM),34000
2011-02-01,54/0036,2.โปรแกรมระบบบัญชีแยกประเภท(GL),NULL
2011-02-01,54/0037,โปรแกรมบัญชีบริหารอาคารชุด (CM),26100
2011-02-01,54/0037,สำหรับหน่วยงาน  เดอะปาร์คแลนด์ ตากสินท่าพระ,NULL
2011-02-01,54/0038,ค่าบริการย้ายโปรแกรม Softbiz,2000
2011-02-03,54/0039,1.ค่าสิทธิ์การใช้โปรแกรม ซอฟท์บิส (CM),12800
2011-02-03,54/0039,2.ค่าติดตั้งโปรแกรม,NULL
2011-02-03,54/0039,**หน่วยงาน  ม.ลัลลี่วิลล์ ธนบุรีรมย์**,NULL
2011-02-03,54/0040,1.โปรแกรมบัญชีอาคารชุด (CM),24650
2011-02-03,54/0040,2.โปรแกรมระบบบัญชีแยกประเภท (GL),NULL
2011-02-03,54/0040,3.LAN x1,NULL
2011-02-03,54/0040,**สำนักงานใหญ่**,NULL
2011-02-03,54/0040,4.ค่าสิทธิ์การใช้โปรแกรม ซอฟท์บิส (CM),NULL
2011-02-03,54/0040,ระยะเวลา1 ปี,NULL
2011-02-03,54/0040,5.ค่าติดตั้งโปรแกรม,NULL
2011-02-03,54/0040,**หน่วยงาน ม.วรารมณ์ เพชรเกษม 81**,NULL
2011-02-03,54/0040,~งวด 2~,NULL
2011-02-03,54/0041,1.ค่าสิทธิ์การใช้โปรแกรม ซอฟท์บิส (CM),12800
2011-02-03,54/0041,2.ค่าติดตั้งโปรแกรม,NULL
2011-02-03,54/0041,**หน่วยงาน  ม.ปริญลักษณ์ พระราม 2**,NULL
2011-02-03,54/0042,MA : MEMBER,3900
2011-02-04,54/0043,โปรแกรมระบบบัญชีแยกประเภท(GL),5000
2011-02-04,54/0044,1.โปรแกรมบัญชีอาคารชุด (CM),15600
2011-02-04,54/0044,2.โปรแกรมระบบบัญชีแยกประเภท (GL),NULL
2011-02-04,54/0044,3.โปรแกรมระบบบัญชีรายจ่าย/เจ้าหนี้ (AP),NULL
2011-02-04,54/0044,**งวด 2**,NULL
2011-02-04,54/0045,MA : MEMBER,3271.03002929688
2011-02-08,54/0046,MA : MEMBER,3900
2011-02-08,54/0047,ค่าสิทธิ์การใช้โปรแกรม ซอฟท์บิส 1 เดือน,13000
2011-02-08,54/0047,"(ม.ค. 2554) ",NULL
2011-02-10,54/0048,MA : MEMBER,3000
2011-02-12,54/0049,MA : MEMBER และ Upgrade โปรแกรม,5400
2011-02-14,54/0050,1.ค่าสิทธิ์การใช้โปรแกรม ซอฟท์บิส (CM),12800
2011-02-14,54/0050,2.ค่าติดตั้งโปรแกรม,NULL
2011-02-14,54/0050,**หน่วยงาน  ธนาทรี ปิ่นเกล้า**,NULL
2011-02-14,54/0051,MA : MEMBER,3510
2011-02-15,54/0052,MA : MEMBER,3510
2011-02-16,54/0053,1.ค่าสิทธิ์การใช้โปรแกรม ซอฟท์บิส (CM),12800
2011-02-16,54/0053,2.ค่าติดตั้งโปรแกรม,NULL
2011-02-16,54/0053,**หน่วยงาน  เดอะพาร์คแลนด์ บางนา 2**,NULL
2011-02-16,54/0054,โปรแกรมระบบบัญชีแยกประเภท(GL),5000
2011-02-16,54/0055,MA : MEMBER,6400
2011-02-16,54/0055,**งวด 1**,NULL
2011-02-17,54/0056,1.โปรแกรมบัญชีอาคารชุด (CM),39000
2011-02-17,54/0056,2.โปรแกรมระบบบัญชีแยกประเภท (GL),NULL
