solve_id,Solve
1,Import รายชื่อ หนี้ค้าง เซ็ทฟอร์มใบแจ้งหนี้ ใบเสร็จรับเงิน
2,(ห้าม Supoort)
3,- ***คีย์เลขที่ใบเสร็จผิด แนะนำให้ยกเลิกหรือให้ใช้รหัสระดับ3 ลบแล้วทำใหม่ แล้วหลังจากนั้นจะได้ปิดไม่ให้คีย์เลขที่เองได้ จะได้ไม่คีย์ผิดอีก
4,- ***ตัวแปล TA1(13)จะดึงเลขที่ใบแจ้งหนี้ จึงต้องมีใบแจ้งหนี้ด้วยถึงจะโชว์ได้
5,- **เพิ่ม ธนาคารทหารไทย ธนชาต ตัวย่อ TTB
6,- *กดแก้ไขใบเสร็จไม่ได้ ให้ใช้รหัส3 /หรือทำหนังสือเข้ามาแก้รหัส1ให้แก้บิลใบเสร็จได้
7,1. Update Program และติดตั้งสิทธิ์เรียบร้อย MBF 2.แก้รหัสคุณแพรวพรรณ (PP) จากระดับ1เป็นระดับ3
8,1. Upgrade Program |2. ติดตั้งสิทธิ์
9,1. สอนทำใบแจ้งหนี้ |2. อธิบายการตัดยอดของใบเสร็จจ่ายล่วงหน้า
10,- add user level 1
11,-- internet มีปัญหา จะติดต่อมาใหม่ เมื่อพร้อม --
12,-- internet มีปัญหา จะสอบถามปัญหาเรื่องค่าปรับ จะติดต่อมาใหม่เมื่อพร้อม --
13,Lan มีปัญหา แนะนำให้ตรวจสอบระบบ Lan ดูอีกที
14,network มีปัญหา แจ้งให้ IT ตรวจสอบ
15,Update Program
16,Windows น่าจะมีปัญหาแนะนำให้ IT ตรวจสอบอีกที
17,เข้าโปรแกรมได้ปกติ
18,เข้าใช้งานได้ปกติ
19,-- เข้าไม่ได้เนื่องจาก เครื่องแม่(Server Nas) มีปัญหา แนะนำให้แก้ไขติดต่อเจ้าของ Server ก่อนแล้วติดต่อมาใหม่ --
20,เครื่อลูกมองไม่เห็นเครื่องแม่แนะนำให้แจ้ง IT เช็ค Lan ให้
21,-- เจ้าหน้าที่เลิกงานแล้ว แจ้งให้ติดต่อไปใหม่ พรุ่งนี้ --
22,-- เจ้าหน้าที่ไม่อยู่ แจ้งให้ติดต่อมาใหม่ --
23,เจ้าหน้าที่สะดวกพรุ่งนี้จะติดต่อมาใหม่
24,เนื่องจากไม่มีข้อมูลสำรองก่อนเอาข้อมูลนิติฯอื่นมาทับ เลยทำการล้างข้อมูลที่มีอยู่แล้วให้บันทึกเข้าไปใหม่
25,------ เบอร์ 083-683-4585 >> เลขหมายยังไม่เปิดใช้บริหาร ไม่มีเลขหมายที่เรียก ------ เบอร์ 090-987-2207 >> ไม่รับสายทั้ง 2 ครั้ง ------ เบอร์ 090-987-2207 >> ไม่รับสาย
26,เปลี่ยนเบอร์โทรเรียบร้อย
27,เปลี่ยนเลขที่เริ่มต้นใบเสร็จรับเงิน
28,เปลี่ยนที่อยู่หน่วยงานเรียบร้อย
29,เปลี่ยนอัตราค่าส่วนกลาง
30,เปิดดูรายงานได้ปกติ
31,เพิ่มเมนูบันทึกค่าส่วนกลาง
32,เพิ่มข้อความในใบแจ้งหนี้เรียบร้อย
33,เพิ่มจุด Lan 1 จุด
34,เพิ่มช่องเงินฝากส่วนตัวเรียบร้อยแล้ว
35,เพิ่มชำระโดยหักบัญชีเรียบร้อย
36,เพิ่มทะเบียน BSK เรียบร้อย
37,เพิ่มรหัสเรียบร้อย
38,เพิ่มระบบ GL เรียบร้อย
39,-- เรื่องเพิ่มทะเบียน หน่วยงาน 2 นิติ ที่สำนักงานใหญ่ แนะนำให้ส่งเมล์ เข้ามา --
40,เลขที่ใบเสร็จใบระบบกับในเอกสารไม่ตรงกัน แนะนำให้ออกใบเสร็จแล้วยกเลิก 1 ใบเพื่อให้เลขตรงกัน
41,------ เลขหมายไม่สามารถใช้งานได้ชั่วคราว •••••• ขอเอกสารรายชื่อกรรมการเพิ่มเติม แต่ยังติดต่อไม่ได้ ••••••
42,แก้ไขเบอร์โทรศัพท์
