"company_id","Company","new_company_id"
57,"*** IRM (เดอะเทมโป)>>",350.0
7,"(PMC) บริษัท พร็อพเพอร์ตี้ แมเนจเม้นท์ คอนโทรล",624.0
2,"( ยูไลฟ์)เดอะทรัสต์ คอนโด อมตะ-ชลบุรี",712.0
1,"( บ.รวมนครก่อสร้าง (ประเทศไทย) )",320.0
3,"(Art On The Hill) ดิ อาร์ท เรสซิเด้นซ์",1912.0
4,"(Big Tree Residence )",577.0
5,"(CBM) Facilities Management (Thailand) Co. Ltd.",14.0
6,"(M-Ladprao (เอ็ม ลาดพร้าว)",14.0
8,"(Raimon land Ekkamai) เดอะลอฟท์ เอกมัย (The Loft Ekkamai)",343.0
9,"(Rhom Bho Property Public) เดอะไทเทิ้ล ฮาโล 1 (The Title Halo 1) (ภูเก็ต))",722.0
10,"(Rhom Bho Property Public) ร่มโพธิ์ พร็อเพอร์ตี้ _เดอะไทเทิ้ล ฮาโล 1 (The Title Halo 1) (ภูเก็ต))",722.0
11,"(RSG)ระยองคอนโดเชน",921.0
12,"(Savills)เดอะ ลอฟท์ เย็นอากาศ (The Lofts Yennakart)- ส่งเมล์มา ส่งต่อให้ทุกคนแล้ว",447.0
13,"(Savills)เดอะ ลอฟท์ เย็นอากาศ (The Lofts Yennakart)- ส่งเมล์มาวันที่27/01/2564 ส่งต่อให้ทุกคนแล้ว",447.0
14,"(Tree Condo สุขุมวิท 52 (ทรีคอนโด สุขุมวิท 52)",3361.0
15,"(Twin)",1963.0
16,"(V Condo ลาดกระบัง Phase B) ( วี คอนโด ลาดกระบัง เฟส บี )",792.0
17,"(V Condo ลาดกระบัง Phase B) วี คอนโด ลาดกระบัง เฟส บี",792.0
18,"(V Condo ลาดกระบัง Phase B) วี คอนโด ลาดกระบัง เฟส บี - ส่งเมล์มาวันที่ 8/3/2565 ส่งต่อให้ทุกคนแล้ว",792.0
19,"(Water's Edge Condominium )",834.0
21,"(เลอโคเต้ ทองหล่อ 8 )",1425.0
20,"(เดอะซีเครซ หัวหิน) (ประจวบคีรีขันธ์)",202.0
22,"(เศรษฐสิริ ราชพฤกษ์ จรัญฯ 2))",2886.0
23,"(เอดี คอนโดมิเนียม ไฮเอท) (AD Condominium Hiace) (A.D. Houses)",5.0
24,"(โกลเด้น เฮอริเทจ เฟส 2)",2913.0
25,"(โกลเด้น นีโอ รามอินทรา-วงแหวน )",3362.0
26,"(โครงการ Kingpower รางน้ำ)",357.0
27,"(โครงการ Kingpower รางน้ำ) (LANx2)",357.0
28,"(โครงการ Kingpower สุวรรณภูมิ)",357.0
29,"(โครงการบ้านวารีภิรมย์)",357.0
30,"(ไนท์บริดจ์ คอลลาจ สุขุมวิท 107 )",248.0
31,"(ไอ-เฮ้าส์ ลากูน่า การ์เด้น 2)  (ไอ-เฮ้าส์ ลากูน่า การ์เด้น 3)",1644.0
32,"(ไอทะเลคอนโดมิเนียม)",124.0
33,"(คอลเลซซิโอ สาทร-พิพัฒน์)",1744.0
34,"(คุณมยุรี ลุ่มร้อย)_(บ้านริมธาร คอนโดมิเนียม )",3363.0
35,"(บ.เอ็กซ์ตร้า เซอร์วิส)(Extra-Service)",3364.0
36,"(บ.ปาล์มฮิลส์ พรอพเพอร์ตี้ เซอร์วิส _ (บ. ปาล์มฮิลส์ เรสซิเดนซ์ เซอร์วิส) (เพชรบุรี)",609.0
37,"(บริดจ์) (พหลโยธิน 37) (Bridge)",2030.0
38,"(บริษัทบริหาร)",3365.0
39,"(บางกอก บูเลอวาร์ด เทพารักษ์-วงแหวน)>>( ดิ แอดเดรส พญาไท) >>( ซิตี้วิลล่า 1 (อาคารD1 D2)(City Villa 1 D1 D2 )",3366.0
40,"(บ้านพฤกษา สุขสวัสดิ์-ประชาอุทิศ (พฤกษา 128)",508.0
41,"(บ้านสวนธน (4) (อาคาร A B C)",2248.0
42,"(พาร์คแลนด์ 6)",772.0
43,"(พาร์คแลนด์ 6) (The Parkland 6)",772.0
44,"(ม.กรีนพลัสมอลล์ 3)",2788.0
45,"(ม.พาร์คเวย์ ชาเล่ต์ โครงการ 2)",3224.0
46,"(ริธึ่ม รัชดา-ห้วยขวาง)",2453.0
47,"(ลูกค้าใหม่)",3365.0
48,"(ลูกค้าใหม่ชลบุรี)",3365.0
49,"(วี คอนโดศาลายา วี 1 ทาวเวอร์) (วี คอนโดศาลายา วี 2 ทาวเวอร์)",783.0
50,"(ศุภาลัย วิลล์ เชียงใหม่)",812.0
51,"(อะพูล คอนโด (Apool Condo)-",2736.0
54,"*** Import Excel ให้ จี สไตล์ คอนโด 2 ติดต่อ คุณสจี 097-176-2081 (ด่วน)",1782.0
76,"*** Remote เพิ่มทะเบียน 1 ทะเบียน ให้ PMC หน่วยงาน รีเจ้นท์ โฮม 20 ติดต่อ คุณเบน 061-423-4777 091-871-5822 (ลูกค้าจะจ่ายเช็ค วันที่ 25/2/65)",624.0
67,"*** Remote ADDx1 ให้ Acute หน่วยงาน เดอะ ทรี จรัญ ติดต่อ คุณเมย์ 065-964-2636",195.0
72,"*** Remote เพิมทะเบีน 1 ทะเบียน+Import ให้ สิริ ศรีลาซาล หน่วยงานของ PLM ติดต่อ คุณแอน 095-3699483 (ลูกค้าจะจ่ายเช็คค่าเช่าให้ภายในวันที่ 18/4/65 ) ส่งเมล์ต่อให้ทุกคนแล้ว",629.0
83,"*** Remote เพิ่มทะเบียน CM-GL หน่วยงาน ปิ่นเกล้าคอนโดมีเนียม ให้ PLM ติดต่อ คุณแอน 02-322-2388 ต่อ15",629.0
68,"*** Remote Update Program ให้ ซี.เค แลนด์ แอนด์ เฮ้าส์ ดีเวลลอปเม้นท์ ติตด่อ คุณจอย 088-2494554 (ลูกค้าโอนเงินแล้ว วันที่ 28/12/64 ยอด 5 200 บาท)",458.0
77,"*** Remote เพิ่มทะเบียน 1 ทะเบียน ให้ PPM หน่วยงาน 185 ราชดำริ ติดต่อ คุณสมชาย 02-260-6000 ต่อ 108 (ลูกค้าฝากเช็คให้แล้ว วันที่ 12/5/2565 ยอด 5 350 บาท)",663.0
69,"*** Remote Update Program ให้ พัทยาฮิลล์ รีสอร์ท",2348.0
70,"*** Remote เพิ่ม LAN 1 จุด ให้ สหกรณ์เคหสถานชุมชนคลองเตย (แฟลต 14) ติดต่อ คุณเปิ้ล 02-671-5927 (ทำเสร็จแล้วจะโอนให้เลย)",842.0
71,"*** Remote เพิ่ม LANx1 ให้ อมรันทา เรสซิเด้นซ์ ติดต่อ คุณวรรณกร 083-4436642 (ด่วน) (ลูกค้าโอนเงินมาแล้ว วันที่ 1/2/65 ยอด 2 675 บาท)",2721.0
73,"*** Remote เพิ่มทะเบีน 1 ทะเบียน+คืนข้อมูลสำรอง ให้ BTP หน่วยงาน สีลมแกรนด์ เทอเรส (ด่วน) ลูกค้าโอนเงินให้แล้ว วันที่ 3/2/65 ยอด 5 200 บาท ส่งเมล์ต่อให้ทุกคนแล้ว////ติดต่อคุณบุหงา 081-752-0313   02-466-8488-89",744.0
74,"*** Remote เพิ่มทะเบียน 1 ทะเบียน ให้ BTP หน่วยงาน อพาร์ทเม้น ปิติสุขสิริ (โอนเงินวันที่ 26/9/65 ยอด 5 200 บาท) ส่งเมล์ต่อให้ทุกคนแล้ว",744.0
75,"*** Remote เพิ่มทะเบียน 1 ทะเบียน ให้ CRM หน่วยงาน แวร์เดย์ ติดต่อ คุณก้อง 083-178-1835",508.0
78,"*** Remote เพิ่มทะเบียน 1 ทะเบียน ให้ ทัฟฟ์ เซอร์วิส (CRM) หน่วยงาน 624 คอนโดเลต รัชดา 36 ติตด่อ คุณก้อง 083-178-1835 (ด่วน) ลูกค้าโอนเงินแล้ว วันที่ 31/1/65 ยอด 5 350 บาท",508.0
